"block_number","min"
11755002,8.56e+10
11755003,7.1e+10
11755004,6.7e+10
11755005,7.1e+10
11755007,57000001459
11755008,7.81e+10
11755009,6.3e+10
11755010,9e+09
11755011,7.2e+10
11755012,9e+10
11755013,7.1e+10
11755014,7.1e+10
11755015,7.1e+10
11755016,6.2e+10
11755017,7.1e+10
11755018,5.98e+10
11755019,7.1e+10
11755020,1e+09
11755021,5.7e+10
11755022,5.7e+10
11755023,8.52e+10
11755024,9.7e+10
11755025,8e+10
11755026,7.1e+10
11755027,6.27e+10
11755028,1.09e+11
11755029,1.03e+11
11755030,9.8e+10
11755031,9e+10
11755032,7.81e+10
11755033,7.1e+10
11755034,7.1e+10
11755035,7.1e+10
11755036,6.3e+10
11755037,9.6e+10
11755038,7.3e+10
11755039,7.1e+10
11755040,7.1e+10
11755041,9.8e+10
11755042,72000001459
11755043,6.3e+10
11755044,1e+09
11755045,6.27e+10
11755046,6.27e+10
11755047,5.7e+10
11755048,6e+10
11755049,5.6e+10
11755050,5.6e+10
11755051,5.5e+10
11755052,1.07e+11
11755053,1e+09
11755054,8.6e+10
11755055,7.81e+10
11755056,8.52e+10
11755057,7.2006e+10
11755058,7.1e+10
11755059,1e+09
11755060,7.1e+10
11755061,7.1e+10
11755062,7.1e+10
11755063,7.8e+10
11755064,7.1e+10
11755065,7.1e+10
11755066,7.1e+10
11755067,7.1e+10
11755068,62000001459
11755069,72000001459
11755070,6.05e+10
11755071,6.05e+10
11755072,66000001459
11755073,7.81e+10
11755074,7.14e+10
11755075,6e+10
11755076,6e+10
11755077,3.01e+10
11755078,1e+09
11755079,7.1e+10
11755080,1e+09
11755081,9e+09
11755082,6.096e+10
11755083,9e+09
11755084,9.03e+10
11755085,86239239210
11755086,9e+09
11755087,7.812e+10
11755088,7.2e+10
11755089,1e+09
11755090,5.5e+10
11755091,9e+10
11755092,9e+09
11755093,9.3e+10
11755094,1e+09
11755095,8e+10
11755096,104400002115
11755097,9.7e+10
11755098,9.175e+10
11755099,8e+10
11755100,7.92e+10
11755101,87239239210
11755102,8.6e+10
11755103,7.9e+10
11755104,7.8e+10
11755105,72000001459
11755106,1e+09
11755107,7.1e+10
11755108,8.6e+10
11755109,1e+09
11755110,7.1e+10
11755111,9.7e+10
11755112,8.6e+10
11755113,1.01e+11
11755114,9.3e+10
11755115,9.2e+10
11755116,8.6e+10
11755117,8.6e+10
11755118,8.6e+10
11755119,7.9e+10
11755120,8.6e+10
11755121,7.1e+10
11755122,7.1e+10
11755123,8.6e+10
11755124,7.81e+10
11755125,7.1e+10
11755127,1e+09
11755128,8.6e+10
11755129,1e+09
11755130,7.2e+10
11755131,7.1e+10
11755132,1.03e+11
11755133,1e+09
11755134,7.81e+10
11755135,7.8e+10
11755136,7.1e+10
11755137,1e+09
11755138,1e+09
11755139,8.6e+10
11755140,9.46e+10
11755141,1e+09
11755142,7.1e+10
11755143,1e+11
11755144,8.6e+10
11755145,1e+09
11755146,76882773147
11755147,7e+10
11755148,6.8e+10
11755149,6.16e+10
11755150,6e+10
11755151,7.4e+10
11755152,59000001123
11755153,9.4403e+10
11755154,8.5e+10
11755155,5.825e+10
11755156,5.7e+10
11755157,5.6e+10
11755158,5.5e+10
11755159,5.5e+10
11755160,5.5e+10
11755161,5.5e+10
11755162,5.5e+10
11755163,5.5e+10
11755164,5.3e+10
11755165,5.39e+10
11755166,9.2e+10
11755167,7e+10
11755168,63815313605
11755169,58000001459
11755170,58000001459
11755171,5.6e+10
11755172,53000001347
11755173,5.3e+10
11755174,5.3e+10
11755175,5.21e+10
11755176,5.775e+10
11755177,55005500000
